Filename,n,m,Metodo,Tiempo
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,2.4775
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,7.91057
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,8.08752
exp_random_3nodos_2ejes.txt,3,2,Dijkstra con cola de prioridad,12.9731
exp_random_3nodos_2ejes.txt,3,2,Bellman-Ford,40.8061
exp_random_3nodos_2ejes.txt,3,2,Floyd-Warshall,23.6903
exp_random_4nodos_4ejes.txt,4,4,Dijkstra con cola de prioridad,22.9347
exp_random_4nodos_4ejes.txt,4,4,Bellman-Ford,115.659
exp_random_4nodos_4ejes.txt,4,4,Floyd-Warshall,51.6249
exp_random_5nodos_4ejes.txt,5,4,Dijkstra con cola de prioridad,42.1099
exp_random_5nodos_4ejes.txt,5,4,Bellman-Ford,266.576
exp_random_5nodos_4ejes.txt,5,4,Floyd-Warshall,95.3349
exp_random_6nodos_8ejes.txt,6,8,Dijkstra con cola de prioridad,74.7199
exp_random_6nodos_8ejes.txt,6,8,Bellman-Ford,549.194
exp_random_6nodos_8ejes.txt,6,8,Floyd-Warshall,167.054
exp_random_7nodos_11ejes.txt,7,11,Dijkstra con cola de prioridad,141.061
exp_random_7nodos_11ejes.txt,7,11,Bellman-Ford,1091.75
exp_random_7nodos_11ejes.txt,7,11,Floyd-Warshall,263.724
exp_random_8nodos_27ejes.txt,8,27,Dijkstra con cola de prioridad,200.209
exp_random_8nodos_27ejes.txt,8,27,Bellman-Ford,1838.69
exp_random_8nodos_27ejes.txt,8,27,Floyd-Warshall,404.542
exp_random_9nodos_19ejes.txt,9,19,Dijkstra con cola de prioridad,300.057
exp_random_9nodos_19ejes.txt,9,19,Bellman-Ford,3156.34
exp_random_9nodos_19ejes.txt,9,19,Floyd-Warshall,608.926
exp_random_10nodos_29ejes.txt,10,29,Dijkstra con cola de prioridad,455.421
exp_random_10nodos_29ejes.txt,10,29,Bellman-Ford,4754.83
exp_random_10nodos_29ejes.txt,10,29,Floyd-Warshall,830.955
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,2.3419
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,7.27954
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,9.54216
exp_random_3nodos_3ejes.txt,3,3,Dijkstra con cola de prioridad,8.01762
exp_random_3nodos_3ejes.txt,3,3,Bellman-Ford,35.7227
exp_random_3nodos_3ejes.txt,3,3,Floyd-Warshall,22.1883
exp_random_4nodos_2ejes.txt,4,2,Dijkstra con cola de prioridad,20.8809
exp_random_4nodos_2ejes.txt,4,2,Bellman-Ford,109.279
exp_random_4nodos_2ejes.txt,4,2,Floyd-Warshall,50.3009
exp_random_5nodos_5ejes.txt,5,5,Dijkstra con cola de prioridad,44.2497
exp_random_5nodos_5ejes.txt,5,5,Bellman-Ford,267.898
exp_random_5nodos_5ejes.txt,5,5,Floyd-Warshall,97.9393
exp_random_6nodos_7ejes.txt,6,7,Dijkstra con cola de prioridad,77.8951
exp_random_6nodos_7ejes.txt,6,7,Bellman-Ford,572.481
exp_random_6nodos_7ejes.txt,6,7,Floyd-Warshall,174.398
exp_random_7nodos_9ejes.txt,7,9,Dijkstra con cola de prioridad,141.887
exp_random_7nodos_9ejes.txt,7,9,Bellman-Ford,1078.95
